dpid	is_food	hp_cal_dt	dpid	gender	age_range	occupation_dm	city_name	phone_model	brand	mobile_os	begin_hour	end_hour	cnt_search	ugc_reviewcnt	ugc_notecnt	ugc_checkincnt	ugc_freshcnt
1cb96f34d9834eb78c54453d4106486a0000000000002312950	0	2021-08-29	1cb96f34d9834eb78c54453d4106486a0000000000002312950	female	30~35	其他	天津	NULL	NULL	android	09:59	09:59	NULL	NULL	NULL	NULL	NULL
1cb9fbe177894b00b68be5b93a505ed9a156119716076895327	1	2021-08-29	1cb9fbe177894b00b68be5b93a505ed9a156119716076895327	female	35~40	白领	北京	NULL	NULL	android	19:59	19:59	NULL	NULL	NULL	NULL	NULL
1cba33f4e7c24ef5a581ebd543430bf4a156990567308087000	0	2021-08-29	1cba33f4e7c24ef5a581ebd543430bf4a156990567308087000	male	30~35	白领	苏州	NULL	NULL	android	19:59	19:59	7	5	1	1	1
1cbd0af353c6472f995b3bc20df5a775a160840610393825871	0	2021-08-29	1cbd0af353c6472f995b3bc20df5a775a160840610393825871	male	40以上	白领	南宁	NULL	NULL	android	09:59	09:59	2	2	1	1	2
1cbd3446325747c880fee86cc86b9898a156116272192055228	0	2021-08-29	1cbd3446325747c880fee86cc86b9898a156116272192055228	male	40以上	白领	广州	NULL	NULL	ios	19:59	19:59	NULL	23	13	1	2
1cbd4424b45e4497b409fcf6a7a32c97a160606983349903722	0	2021-08-29	1cbd4424b45e4497b409fcf6a7a32c97a160606983349903722	male	35~40	白领	北京	NULL	NULL	android	01:59	01:59	NULL	4	8	1	1
1cbd6e87e3414493832cef5723350208a162004719572212109	1	2021-08-29	1cbd6e87e3414493832cef5723350208a162004719572212109	female	35~40	其他	天津	NULL	NULL	android	22:59	22:59	2	320	59	1	5
1cbf4c57d5f343d2b9f978479c70e78ca159389591747827633	0	2021-08-29	1cbf4c57d5f343d2b9f978479c70e78ca159389591747827633	female	30~35	其他	厦门	NULL	NULL	android	14:59	14:59	1	19	3	1	1
1cc0647384db42f3bcb7f090a33f6d73a162423700200521050	0	2021-08-29	1cc0647384db42f3bcb7f090a33f6d73a162423700200521050	female	25~30	白领	深圳	NULL	NULL	android	14:59	14:59	2	4	1	1	1
1cc0d703186f43839e02543da934decca155879474311443406	0	2021-08-29	1cc0d703186f43839e02543da934decca155879474311443406	female	20~25	其他	德州	NULL	NULL	ios	22:59	22:59	NULL	4	1	1	1
